chunks,context,targets,time_coords,time_indices,trials,words
1,reenact,animal,6.8000030517578125+7.650003433227539+8.500003814697266+9.350004196166992+10.200004577636719+11.050004959106445,8+9+10+11+12+13,0,ARDILLA
1,reenact,animal,18.700008392333984+19.55000877380371+20.400009155273438+21.250009536743164+22.10000991821289+22.950010299682617,22+23+24+25+26+27,1,GALLINA
1,reenact,animal,30.600013732910156+31.450014114379883+32.30001449584961+33.150014877319336+34.00001525878906+34.85001564025879,36+37+38+39+40+41,2,GALLO
1,reenact,animal,42.50001907348633+43.350019454956055+44.20001983642578+45.05002021789551+45.900020599365234+46.75002098083496,50+51+52+53+54+55,3,CAMELLO
1,reenact,animal,54.4000244140625+55.25002479553223+56.10002517700195+56.95002555847168+57.800025939941406+58.65002632141113,64+65+66+67+68+69,4,PERRO
1,reenact,tool,66.30002975463867+67.1500301361084+68.00003051757812+68.85003089904785+69.70003128051758+70.5500316619873,78+79+80+81+82+83,5,NAVAJA
1,reenact,animal,78.20003509521484+79.05003547668457+79.9000358581543+80.75003623962402+81.60003662109375+82.45003700256348,92+93+94+95+96+97,6,CERDO
1,reenact,animal,89.25004005432129+90.10004043579102+90.95004081726074+91.80004119873047+92.6500415802002+93.50004196166992+94.35004234313965,105+106+107+108+109+110+111,7,TIGRE
1,reenact,animal,102.00004577636719+102.85004615783691+103.70004653930664+104.55004692077637+105.4000473022461+106.25004768371582+107.10004806518555,120+121+122+123+124+125+126,8,CANGURO
1,reenact,animal,113.90005111694336+114.75005149841309+115.60005187988281+116.45005226135254+117.30005264282227+118.15005302429199,134+135+136+137+138+139,9,OVEJA
1,reenact,tool,125.80005645751953+126.65005683898926+127.50005722045898+128.3500576019287+129.20005798339844+130.05005836486816,148+149+150+151+152+153,10,PINZA
1,reenact,tool,138.55006217956543+139.40006256103516+140.25006294250488+141.1000633239746+141.95006370544434+142.80006408691406,163+164+165+166+167+168,11,CLAVO
1,reenact,animal,150.4500675201416+151.30006790161133+152.15006828308105+153.00006866455078+153.8500690460205+154.70006942749023,177+178+179+180+181+182,12,TORTUGA
1,reenact,tool,162.35007286071777+163.2000732421875+164.05007362365723+164.90007400512695+165.75007438659668+166.6000747680664,191+192+193+194+195+196,13,TUERCA
1,reenact,tool,174.25007820129395+175.10007858276367+175.9500789642334+176.80007934570312+177.65007972717285+178.50008010864258,205+206+207+208+209+210,14,TALADRO
1,reenact,tool,185.3000831604004+186.15008354187012+187.00008392333984+187.85008430480957+188.7000846862793+189.55008506774902+190.40008544921875,218+219+220+221+222+223+224,15,SIERRA
1,reenact,tool,197.20008850097656+198.0500888824463+198.90008926391602+199.75008964538574+200.60009002685547+201.4500904083252,232+233+234+235+236+237,16,TORNILLO
1,reenact,tool,209.10009384155273+209.95009422302246+210.8000946044922+211.6500949859619+212.50009536743164+213.35009574890137,246+247+248+249+250+251,17,CEPILLO
1,reenact,animal,221.0000991821289+221.85009956359863+222.70009994506836+223.5501003265381+224.4001007080078+225.25010108947754,260+261+262+263+264+265,18,YEGUA
1,reenact,tool,232.90010452270508+233.7501049041748+234.60010528564453+235.45010566711426+236.30010604858398+237.1501064300537,274+275+276+277+278+279,19,MARTILLO
1,reenact,tool,245.65011024475098+246.5001106262207+247.35011100769043+248.20011138916016+249.05011177062988+249.9001121520996,289+290+291+292+293+294,20,TIJERA
1,reenact,animal,258.4001159667969+259.2501163482666+260.1001167297363+260.95011711120605+261.8001174926758+262.6501178741455,304+305+306+307+308+309,21,CABALLO
1,reenact,tool,270.30012130737305+271.1501216888428+272.0001220703125+272.8501224517822+273.70012283325195+274.5501232147217,318+319+320+321+322+323,22,LLAVE
1,reenact,animal,283.05012702941895+283.9001274108887+284.7501277923584+285.6001281738281+286.45012855529785+287.3001289367676,333+334+335+336+337+338,23,CONEJO
1,reenact,tool,295.80013275146484+296.65013313293457+297.5001335144043+298.350133895874+299.20013427734375+300.0501346588135,348+349+350+351+352+353,24,CUCHARA
1,reenact,tool,308.55013847351074+309.40013885498047+310.2501392364502+311.1001396179199+311.95013999938965+312.8001403808594,363+364+365+366+367+368,25,LAPIZ
1,reenact,tool,321.30014419555664+322.15014457702637+323.0001449584961+323.8501453399658+324.70014572143555+325.5501461029053,378+379+380+381+382+383,26,AGUJA
1,reenact,tool,332.3501491546631+333.2001495361328+334.05014991760254+334.90015029907227+335.750150680542+336.6001510620117,391+392+393+394+395+396,27,PINCEL
1,reenact,animal,344.25015449523926+345.100154876709+345.9501552581787+346.80015563964844+347.65015602111816+348.5001564025879,405+406+407+408+409+410,28,BALLENA
1,reenact,tool,357.00016021728516+357.8501605987549+358.7001609802246+359.55016136169434+360.40016174316406+361.2501621246338,420+421+422+423+424+425,29,SOPLETE
1,reenact,animal,368.0501651763916+368.9001655578613+369.75016593933105+370.6001663208008+371.4501667022705+372.30016708374023+373.15016746520996,433+434+435+436+437+438+439,30,GORILA
1,reenact,animal,380.8001708984375+381.6501712799072+382.50017166137695+383.3501720428467+384.2001724243164+385.05017280578613,448+449+450+451+452+453,31,ELEFANTE
1,reenact,animal,392.7001762390137+393.5501766204834+394.4001770019531+395.25017738342285+396.1001777648926+396.9501781463623,462+463+464+465+466+467,32,PANTERA
1,reenact,tool,404.60018157958984+405.45018196105957+406.3001823425293+407.150182723999+408.00018310546875+408.8501834869385,476+477+478+479+480+481,33,CUCHILLO
