chunks,context,targets,time_coords,time_indices,trials,words
8,read,animal,6.8000030517578125+7.650003433227539+8.500003814697266+9.350004196166992+10.200004577636719+11.050004959106445,8+9+10+11+12+13,0,GALLO
8,read,tool,18.700008392333984+19.55000877380371+20.400009155273438+21.250009536743164+22.10000991821289+22.950010299682617,22+23+24+25+26+27,1,TIJERA
8,read,animal,30.600013732910156+31.450014114379883+32.30001449584961+33.150014877319336+34.00001525878906+34.85001564025879,36+37+38+39+40+41,2,BURRO
8,read,tool,43.350019454956055+44.20001983642578+45.05002021789551+45.900020599365234+46.75002098083496+47.60002136230469,51+52+53+54+55+56,3,CLAVO
8,read,animal,55.25002479553223+56.10002517700195+56.95002555847168+57.800025939941406+58.65002632141113+59.50002670288086,65+66+67+68+69+70,4,GORILA
8,read,animal,68.85003089904785+69.70003128051758+70.5500316619873+71.40003204345703+72.25003242492676+73.10003280639648,81+82+83+84+85+86,5,BALLENA
8,read,tool,80.75003623962402+81.60003662109375+82.45003700256348+83.3000373840332+84.15003776550293+85.00003814697266,95+96+97+98+99+100,6,MARTILLO
8,read,tool,93.50004196166992+94.35004234313965+95.20004272460938+96.0500431060791+96.90004348754883+97.75004386901855,110+111+112+113+114+115,7,TALADRO
8,read,tool,106.25004768371582+107.10004806518555+107.95004844665527+108.800048828125+109.65004920959473+110.50004959106445,125+126+127+128+129+130,8,CUCHARA
8,read,tool,117.30005264282227+118.15005302429199+119.00005340576172+119.85005378723145+120.70005416870117+121.5500545501709+122.40005493164062,138+139+140+141+142+143+144,9,CEPILLO
8,read,tool,129.20005798339844+130.05005836486816+130.9000587463379+131.75005912780762+132.60005950927734+133.45005989074707,152+153+154+155+156+157,10,NAVAJA
8,read,animal,141.1000633239746+141.95006370544434+142.80006408691406+143.6500644683838+144.50006484985352+145.35006523132324,166+167+168+169+170+171,11,CABALLO
8,read,tool,153.00006866455078+153.8500690460205+154.70006942749023+155.55006980895996+156.4000701904297+157.2500705718994+158.10007095336914,180+181+182+183+184+185+186,12,TUERCA
8,read,tool,165.75007438659668+166.6000747680664+167.45007514953613+168.30007553100586+169.1500759124756+170.0000762939453+170.85007667541504,195+196+197+198+199+200+201,13,PINZA
8,read,animal,178.50008010864258+179.3500804901123+180.20008087158203+181.05008125305176+181.90008163452148+182.7500820159912,210+211+212+213+214+215,14,CONEJO
8,read,animal,191.25008583068848+192.1000862121582+192.95008659362793+193.80008697509766+194.65008735656738+195.5000877380371+196.35008811950684,225+226+227+228+229+230+231,15,TORTUGA
8,read,tool,203.15009117126465+204.00009155273438+204.8500919342041+205.70009231567383+206.55009269714355+207.40009307861328,239+240+241+242+243+244,16,PINCEL
8,read,tool,215.05009651184082+215.90009689331055+216.75009727478027+217.60009765625+218.45009803771973+219.30009841918945,253+254+255+256+257+258,17,SOPLETE
8,read,animal,227.80010223388672+228.65010261535645+229.50010299682617+230.3501033782959+231.20010375976562+232.05010414123535,268+269+270+271+272+273,18,CANGURO
8,read,animal,240.55010795593262+241.40010833740234+242.25010871887207+243.1001091003418+243.95010948181152+244.80010986328125,283+284+285+286+287+288,19,PERRO
8,read,animal,251.60011291503906+252.4501132965088+253.30011367797852+254.15011405944824+255.00011444091797+255.8501148223877,296+297+298+299+300+301,20,OVEJA
8,read,tool,264.35011863708496+265.2001190185547+266.0501194000244+266.90011978149414+267.75012016296387+268.6001205444336,311+312+313+314+315+316,21,SIERRA
8,read,animal,277.10012435913086+277.9501247406006+278.8001251220703+279.65012550354004+280.50012588500977+281.3501262664795,326+327+328+329+330+331,22,ARDILLA
8,read,tool,289.00012969970703+289.85013008117676+290.7001304626465+291.5501308441162+292.40013122558594+293.25013160705566,340+341+342+343+344+345,23,LLAVE
8,read,animal,300.0501346588135+300.9001350402832+301.75013542175293+302.60013580322266+303.4501361846924+304.3001365661621+305.15013694763184,353+354+355+356+357+358+359,24,ELEFANTE
8,read,animal,312.8001403808594+313.6501407623291+314.5001411437988+315.35014152526855+316.2001419067383+317.050142288208,368+369+370+371+372+373,25,TIGRE
8,read,animal,324.70014572143555+325.5501461029053+326.400146484375+327.2501468658447+328.10014724731445+328.9501476287842,382+383+384+385+386+387,26,GALLINA
8,read,animal,335.750150680542+336.6001510620117+337.45015144348145+338.3001518249512+339.1501522064209+340.0001525878906+340.85015296936035,395+396+397+398+399+400+401,27,CAMELLO
8,read,tool,348.5001564025879+349.3501567840576+350.20015716552734+351.05015754699707+351.9001579284668+352.7501583099365,410+411+412+413+414+415,28,LAPIZ
8,read,tool,360.40016174316406+361.2501621246338+362.1001625061035+362.95016288757324+363.80016326904297+364.6501636505127,424+425+426+427+428+429,29,TORNILLO
8,read,tool,373.15016746520996+374.0001678466797+374.8501682281494+375.70016860961914+376.55016899108887+377.4001693725586,439+440+441+442+443+444,30,AGUJA
8,read,animal,385.90017318725586+386.7501735687256+387.6001739501953+388.45017433166504+389.30017471313477+390.1501750946045,454+455+456+457+458+459,31,PANTERA
8,read,tool,397.80017852783203+398.65017890930176+399.5001792907715+400.3501796722412+401.20018005371094+402.05018043518066,468+469+470+471+472+473,32,ALICATE
8,read,animal,409.7001838684082+410.55018424987793+411.40018463134766+412.2501850128174+413.1001853942871+413.95018577575684,482+483+484+485+486+487,33,YEGUA
8,read,animal,421.6001892089844+422.4501895904541+423.3001899719238+424.15019035339355+425.0001907348633+425.850191116333,496+497+498+499+500+501,34,CERDO
8,read,tool,433.50019454956055+434.3501949310303+435.2001953125+436.0501956939697+436.90019607543945+437.7501964569092,510+511+512+513+514+515,35,CUCHILLO
