chunks,context,targets,time_coords,time_indices,trials,words
6,read,tool,6.8000030517578125+7.650003433227539+8.500003814697266+9.350004196166992+10.200004577636719+11.050004959106445,8+9+10+11+12+13,0,NAVAJA
6,read,tool,18.700008392333984+19.55000877380371+20.400009155273438+21.250009536743164+22.10000991821289+22.950010299682617,22+23+24+25+26+27,1,MARTILLO
6,read,tool,32.30001449584961+33.150014877319336+34.00001525878906+34.85001564025879+35.700016021728516+36.55001640319824,38+39+40+41+42+43,2,SOPLETE
6,read,tool,45.05002021789551+45.900020599365234+46.75002098083496+47.60002136230469+48.450021743774414+49.30002212524414,53+54+55+56+57+58,3,ALICATE
6,read,tool,57.800025939941406+58.65002632141113+59.50002670288086+60.350027084350586+61.20002746582031+62.05002784729004,68+69+70+71+72+73,4,CEPILLO
6,read,animal,69.70003128051758+70.5500316619873+71.40003204345703+72.25003242492676+73.10003280639648+73.95003318786621,82+83+84+85+86+87,5,CAMELLO
6,read,tool,81.60003662109375+82.45003700256348+83.3000373840332+84.15003776550293+85.00003814697266+85.85003852844238,96+97+98+99+100+101,6,CLAVO
6,read,animal,93.50004196166992+94.35004234313965+95.20004272460938+96.0500431060791+96.90004348754883+97.75004386901855,110+111+112+113+114+115,7,PERRO
6,read,tool,106.25004768371582+107.10004806518555+107.95004844665527+108.800048828125+109.65004920959473+110.50004959106445,125+126+127+128+129+130,8,TORNILLO
6,read,tool,119.00005340576172+119.85005378723145+120.70005416870117+121.5500545501709+122.40005493164062+123.25005531311035,140+141+142+143+144+145,9,TUERCA
6,read,tool,130.05005836486816+130.9000587463379+131.75005912780762+132.60005950927734+133.45005989074707+134.3000602722168+135.15006065368652,153+154+155+156+157+158+159,10,TALADRO
6,read,animal,141.95006370544434+142.80006408691406+143.6500644683838+144.50006484985352+145.35006523132324+146.20006561279297,167+168+169+170+171+172,11,TIGRE
6,read,animal,154.70006942749023+155.55006980895996+156.4000701904297+157.2500705718994+158.10007095336914+158.95007133483887,182+183+184+185+186+187,12,CANGURO
6,read,animal,165.75007438659668+166.6000747680664+167.45007514953613+168.30007553100586+169.1500759124756+170.0000762939453+170.85007667541504,195+196+197+198+199+200+201,13,YEGUA
6,read,animal,177.65007972717285+178.50008010864258+179.3500804901123+180.20008087158203+181.05008125305176+181.90008163452148,209+210+211+212+213+214,14,TORTUGA
6,read,tool,190.40008544921875+191.25008583068848+192.1000862121582+192.95008659362793+193.80008697509766+194.65008735656738,224+225+226+227+228+229,15,LLAVE
6,read,tool,204.00009155273438+204.8500919342041+205.70009231567383+206.55009269714355+207.40009307861328+208.250093460083,240+241+242+243+244+245,16,CUCHILLO
6,read,tool,215.90009689331055+216.75009727478027+217.60009765625+218.45009803771973+219.30009841918945+220.15009880065918,254+255+256+257+258+259,17,PINCEL
6,read,tool,227.80010223388672+228.65010261535645+229.50010299682617+230.3501033782959+231.20010375976562+232.05010414123535,268+269+270+271+272+273,18,SIERRA
6,read,animal,239.7001075744629+240.55010795593262+241.40010833740234+242.25010871887207+243.1001091003418+243.95010948181152,282+283+284+285+286+287,19,OVEJA
6,read,animal,251.60011291503906+252.4501132965088+253.30011367797852+254.15011405944824+255.00011444091797+255.8501148223877,296+297+298+299+300+301,20,BALLENA
6,read,tool,263.50011825561523+264.35011863708496+265.2001190185547+266.0501194000244+266.90011978149414+267.75012016296387,310+311+312+313+314+315,21,AGUJA
6,read,animal,274.5501232147217+275.4001235961914+276.25012397766113+277.10012435913086+277.9501247406006+278.8001251220703+279.65012550354004,323+324+325+326+327+328+329,22,CABALLO
6,read,tool,286.45012855529785+287.3001289367676+288.1501293182373+289.00012969970703+289.85013008117676+290.7001304626465,337+338+339+340+341+342,23,TIJERA
6,read,animal,299.20013427734375+300.0501346588135+300.9001350402832+301.75013542175293+302.60013580322266+303.4501361846924,352+353+354+355+356+357,24,BURRO
6,read,animal,311.1001396179199+311.95013999938965+312.8001403808594+313.6501407623291+314.5001411437988+315.35014152526855,366+367+368+369+370+371,25,GALLO
6,read,animal,323.0001449584961+323.8501453399658+324.70014572143555+325.5501461029053+326.400146484375+327.2501468658447,380+381+382+383+384+385,26,GALLINA
6,read,animal,335.750150680542+336.6001510620117+337.45015144348145+338.3001518249512+339.1501522064209+340.0001525878906,395+396+397+398+399+400,27,GORILA
6,read,tool,347.65015602111816+348.5001564025879+349.3501567840576+350.20015716552734+351.05015754699707+351.9001579284668,409+410+411+412+413+414,28,CUCHARA
6,read,animal,359.55016136169434+360.40016174316406+361.2501621246338+362.1001625061035+362.95016288757324+363.80016326904297,423+424+425+426+427+428,29,ELEFANTE
6,read,tool,371.4501667022705+372.30016708374023+373.15016746520996+374.0001678466797+374.8501682281494+375.70016860961914,437+438+439+440+441+442,30,PINZA
6,read,tool,385.05017280578613+385.90017318725586+386.7501735687256+387.6001739501953+388.45017433166504+389.30017471313477,453+454+455+456+457+458,31,LAPIZ
6,read,animal,396.9501781463623+397.80017852783203+398.65017890930176+399.5001792907715+400.3501796722412+401.20018005371094,467+468+469+470+471+472,32,PANTERA
6,read,animal,408.8501834869385+409.7001838684082+410.55018424987793+411.40018463134766+412.2501850128174+413.1001853942871,481+482+483+484+485+486,33,CONEJO
6,read,animal,420.75018882751465+421.6001892089844+422.4501895904541+423.3001899719238+424.15019035339355+425.0001907348633,495+496+497+498+499+500,34,CERDO
6,read,animal,431.8001937866211+432.6501941680908+433.50019454956055+434.3501949310303+435.2001953125+436.0501956939697+436.90019607543945,508+509+510+511+512+513+514,35,ARDILLA
