chunks,context,targets,time_coords,time_indices,trials,words
11,reenact,tool,6.8000030517578125+7.650003433227539+8.500003814697266+9.350004196166992+10.200004577636719+11.050004959106445,8+9+10+11+12+13,0,CEPILLO
11,reenact,animal,18.700008392333984+19.55000877380371+20.400009155273438+21.250009536743164+22.10000991821289+22.950010299682617,22+23+24+25+26+27,1,TORTUGA
11,reenact,animal,30.600013732910156+31.450014114379883+32.30001449584961+33.150014877319336+34.00001525878906+34.85001564025879,36+37+38+39+40+41,2,CANGURO
11,reenact,tool,43.350019454956055+44.20001983642578+45.05002021789551+45.900020599365234+46.75002098083496+47.60002136230469,51+52+53+54+55+56,3,LLAVE
11,reenact,tool,55.25002479553223+56.10002517700195+56.95002555847168+57.800025939941406+58.65002632141113+59.50002670288086,65+66+67+68+69+70,4,TUERCA
11,reenact,tool,68.00003051757812+68.85003089904785+69.70003128051758+70.5500316619873+71.40003204345703+72.25003242492676,80+81+82+83+84+85,5,SOPLETE
11,reenact,tool,79.05003547668457+79.9000358581543+80.75003623962402+81.60003662109375+82.45003700256348+83.3000373840332+84.15003776550293,93+94+95+96+97+98+99,6,CLAVO
11,reenact,tool,91.80004119873047+92.6500415802002+93.50004196166992+94.35004234313965+95.20004272460938+96.0500431060791+96.90004348754883,108+109+110+111+112+113+114,7,NAVAJA
11,reenact,tool,105.4000473022461+106.25004768371582+107.10004806518555+107.95004844665527+108.800048828125+109.65004920959473,124+125+126+127+128+129,8,TORNILLO
11,reenact,tool,117.30005264282227+118.15005302429199+119.00005340576172+119.85005378723145+120.70005416870117+121.5500545501709,138+139+140+141+142+143,9,MARTILLO
11,reenact,animal,129.20005798339844+130.05005836486816+130.9000587463379+131.75005912780762+132.60005950927734+133.45005989074707,152+153+154+155+156+157,10,CAMELLO
11,reenact,tool,141.1000633239746+141.95006370544434+142.80006408691406+143.6500644683838+144.50006484985352+145.35006523132324,166+167+168+169+170+171,11,TIJERA
11,reenact,animal,153.8500690460205+154.70006942749023+155.55006980895996+156.4000701904297+157.2500705718994+158.10007095336914,181+182+183+184+185+186,12,BALLENA
11,reenact,animal,164.90007400512695+165.75007438659668+166.6000747680664+167.45007514953613+168.30007553100586+169.1500759124756,194+195+196+197+198+199,13,YEGUA
11,reenact,animal,177.65007972717285+178.50008010864258+179.3500804901123+180.20008087158203+181.05008125305176+181.90008163452148,209+210+211+212+213+214,14,CERDO
11,reenact,animal,189.55008506774902+190.40008544921875+191.25008583068848+192.1000862121582+192.95008659362793+193.80008697509766,223+224+225+226+227+228,15,GALLO
11,reenact,animal,201.4500904083252+202.30009078979492+203.15009117126465+204.00009155273438+204.8500919342041+205.70009231567383,237+238+239+240+241+242,16,BURRO
11,reenact,tool,213.35009574890137+214.2000961303711+215.05009651184082+215.90009689331055+216.75009727478027+217.60009765625,251+252+253+254+255+256,17,ALICATE
11,reenact,animal,225.25010108947754+226.10010147094727+226.950101852417+227.80010223388672+228.65010261535645+229.50010299682617,265+266+267+268+269+270,18,PERRO
11,reenact,tool,237.1501064300537+238.00010681152344+238.85010719299316+239.7001075744629+240.55010795593262+241.40010833740234,279+280+281+282+283+284,19,CUCHARA
11,reenact,animal,249.05011177062988+249.9001121520996+250.75011253356934+251.60011291503906+252.4501132965088+253.30011367797852,293+294+295+296+297+298,20,CONEJO
11,reenact,animal,260.95011711120605+261.8001174926758+262.6501178741455+263.50011825561523+264.35011863708496+265.2001190185547,307+308+309+310+311+312,21,GALLINA
11,reenact,animal,272.0001220703125+272.8501224517822+273.70012283325195+274.5501232147217+275.4001235961914+276.25012397766113+277.10012435913086,320+321+322+323+324+325+326,22,CABALLO
11,reenact,animal,284.7501277923584+285.6001281738281+286.45012855529785+287.3001289367676+288.1501293182373+289.00012969970703,335+336+337+338+339+340,23,ARDILLA
11,reenact,tool,296.65013313293457+297.5001335144043+298.350133895874+299.20013427734375+300.0501346588135+300.9001350402832,349+350+351+352+353+354,24,AGUJA
11,reenact,tool,308.55013847351074+309.40013885498047+310.2501392364502+311.1001396179199+311.95013999938965+312.8001403808594,363+364+365+366+367+368,25,LAPIZ
11,reenact,animal,321.30014419555664+322.15014457702637+323.0001449584961+323.8501453399658+324.70014572143555+325.5501461029053,378+379+380+381+382+383,26,PANTERA
